collection,slug,seoTitle,description
open-spaces,global-domain-driven-days-2024,,"A worldwide Domain-Driven Design event: local meetups across time zones plus a continuous 16-hour online open space, hosted by the Virtual DDD community."
open-spaces,architectural-decision-making-gathering,"Architectural Decision Making: An Open Space","A four-hour online unconference on how teams actually structure architectural decision-making — no fixed agenda, participants set the sessions."
open-spaces,exploring-integrative-leadership-in-complex-systems,"Integrative Leadership in Complex Systems","An open space on what technical leadership means when good decisions depend on collective, cross-functional thinking, and how collaborative modelling becomes a form of it."
open-spaces,improving-your-software-design-by-nourishing-diversity,"Nourishing Diversity in Software Design","An open space on why every perspective in the room changes the model you end up with, and how equality in design conversations improves the software itself."
open-spaces,systems-thinking-and-skillful-interaction,"Systems Thinking and Skillful Interaction","An open space on the shift from 'keep it simple' to working in genuine complexity, and the skills needed to deliver reliably at scale."
heuristics,approach-struggling-facilitator,,"When a facilitator is visibly struggling, offer support rather than challenge: assume positive intent and give gentle prompts instead of taking over."
heuristics,steer-workshop-discussions,,"When a workshop discussion drifts, return to the goal everyone agreed on and use it to refocus the group rather than cutting people off."
heuristics,realign-workshop-goals,,"When it becomes clear mid-session that people disagree about the purpose, stop and realign with everyone present before spending more of the room's time."
heuristics,facilitate-conflicting-decisions,,"When priorities clash, make the trade-off explicit — name what each option gains and gives up — so the group chooses consciously rather than by attrition."
heuristics,shift-design-focus-business-problems,,"When design talk collapses into technical constraints and legacy systems, steer it back to the business problem before any solution is on the table."
heuristics,deliver-difficult-conversations,,"Deliver uncomfortable truths to stakeholders by framing them around shared goals, so the conversation stays about the work rather than about blame."
heuristics,workshop-stakeholder-alignment,,"Align every stakeholder on the purpose and the intended outcome before the workshop starts — misalignment discovered on the day is expensive to repair."
heuristics,guide-unprepared-facilitator,,"As a participant with an unprepared facilitator, ask empathetic questions that realign the group on its goal without taking the session away from them."
heuristics,communicate-critical-workshop-insights,,"Get the uncomfortable findings to the people who were not in the room: a short, evidence-based summary with a clear recommendation beats a full write-up."
heuristics,address-destructive-behavior-privately,,"When someone's behaviour disrupts a session, address it one-on-one by sharing observations and asking questions."
heuristics,drop-methodology-when-barrier,,"Recognise when formal techniques intimidate participants and shift to freeform collaboration that meets people where they are."
heuristics,focus-valued-organizational-outcomes,,"Frame architectural experiments around outcomes the organisation already values rather than debating approaches."
heuristics,make-explicit-feelings-group-stuck,,"When a group is stuck, share your own feelings first and invite others to share if they recognise similar reactions."
heuristics,notice-anxiety-signal-missing-something,,"Recognise your own anxiety about outcomes as information that you might be avoiding an important conversation."
heuristics,start-small-leadership-resists,,"When leadership resists big collaborative sessions, embed modelling into regular work rather than making it a special event."
heuristics,step-back-observe-losing-control,,"When you feel triggered or lose control as a facilitator, take a literal step back and observe behaviour patterns."
stories,misaligned-expectations-goals-dont-align,CLEAR,"Beija Nigl on what to do when the sponsor's goal contradicts the team's — discovered 48 hours before a legacy modernisation kicks off."
stories,drawing-same-system-different-architectures,CLEAR,"Ask four architects to draw the same system and you get four diagrams. Externalising those mental models is what surfaces the disagreement."
